username_length,num_followers,num_following,num_posts,account_age_days,bio_length,profile_pic,fake
11,5555,3185,452,2365,45,1,0
8,7954,25,418,3489,182,1,0
12,4713,1806,449,190,37,0,1
9,3092,6651,994,3561,129,1,0
11,4159,5664,584,1913,8,1,0
14,6308,5154,114,3387,107,0,1
7,7478,5824,50,296,132,1,0
11,8476,3659,368,2549,97,1,0
12,4933,1525,913,177,18,0,0
9,4926,760,682,800,70,0,1
8,9379,594,779,806,38,1,0
12,3969,7192,514,2908,41,0,0
12,2965,1055,209,1743,144,0,0
7,4319,3083,887,215,190,0,0
10,8975,3675,997,1880,89,1,0
9,7108,9650,902,2701,173,0,0
6,9141,5957,992,597,106,1,0
12,3939,5255,901,1718,147,1,0
10,44,9411,849,1356,197,0,1
6,1810,4228,812,128,135,1,0
9,4566,4181,894,1293,95,0,1
5,9021,9691,853,2599,146,0,0
14,1909,1830,626,1559,31,0,1
10,6364,3395,678,1778,125,0,0
13,2581,1203,434,3438,146,0,1
5,691,2810,776,619,23,1,0
14,931,3092,226,2396,23,1,0
7,7910,3044,662,142,183,0,0
11,6382,6071,267,3217,119,1,0
8,3406,7272,115,2840,17,1,0
13,8339,4673,599,245,139,1,0
7,1032,3514,829,3514,40,1,0
9,1311,9990,753,2751,86,0,1
7,8579,6192,359,1314,175,0,1
11,3121,144,328,1715,81,0,0
9,1873,7507,844,1136,191,1,0
13,9107,4857,39,2262,143,1,0
11,6781,1377,181,1910,150,0,0
6,3748,3146,489,2248,166,0,0
8,277,5024,208,2453,32,1,0
13,1859,793,902,421,23,0,1
6,5929,9793,272,7,60,1,1
14,6792,5756,118,1549,54,0,0
13,4713,4414,381,2640,188,0,1
14,4675,1110,945,2334,83,1,0
9,1170,5672,535,671,167,0,0
6,8681,4053,257,2437,185,0,1
8,9374,3937,482,416,118,0,0
11,5308,3963,508,2832,71,0,1
12,2462,4942,91,1007,73,0,0
7,9822,5897,978,1737,128,0,1
5,287,8974,160,3222,84,1,0
8,5953,1116,148,3063,152,1,0
6,4282,1750,116,428,95,1,0
12,1907,4027,457,3053,52,1,0
8,1161,5745,564,3365,188,1,0
6,129,5064,813,334,173,0,1
10,6337,9679,44,2320,109,0,1
10,2363,5938,776,3115,59,1,0
14,8151,3397,997,3540,50,0,1
8,5983,8265,773,2367,120,0,0
10,143,1359,818,3564,72,0,1
6,8207,9283,233,527,175,0,0
14,7469,4853,374,2808,167,0,0
6,244,1941,546,1196,6,1,0
14,926,3148,849,1754,74,1,0
8,3178,7933,948,1673,18,0,0
12,2176,9436,914,2369,142,1,0
11,5002,1285,196,2787,69,1,0
13,886,6474,24,3116,188,1,0
12,8532,770,394,1556,55,1,0
9,3398,1843,713,2029,137,0,1
6,8497,73,784,1655,173,1,0
9,9099,1660,35,454,79,0,0
12,2654,4349,473,746,108,1,0
14,7392,7102,222,1904,184,1,0
13,1371,8000,863,929,34,0,0
13,7135,9011,788,848,71,0,1
5,320,3818,529,868,91,1,0
13,4654,331,187,774,2,1,0
11,5300,1421,401,2131,65,0,0
13,6761,7512,256,543,180,1,0
12,6854,6890,653,322,51,0,1
5,5505,4931,135,786,92,0,0
12,9323,9883,961,3306,180,0,1
12,6553,6025,818,540,181,1,0
7,4042,4408,590,2300,46,0,1
5,9009,5113,443,2884,2,0,0
12,7498,8419,417,1789,192,1,0
7,6636,2881,291,449,142,0,1
7,7362,2865,573,3311,83,1,0
5,11,2575,128,490,33,1,1
9,194,6185,340,1906,49,0,0
14,2537,8656,809,464,32,1,0
